Facies,Well Name,Depth,GR,ILD,ILD_log10,NPHI,RHOB,PORD,PORDIFF,BVW
2,AMMY220,1046,9.2813,2000,3.30102999566398,0.217,2.4906,0.1362732,0.0807268,0.003535533905933
2,AMMY220,1046.5,10.6065,2000,3.30102999566398,0.2254,2.5042,0.1278261,0.0975739,0.003535533905933
2,AMMY220,1047,10.8053,451.5,2.65465775464952,0.2358,2.5062,0.1265838,0.1092162,0.007441168295607
2,AMMY220,1047.5,11.2691,687.5,2.8372727025023,0.2373,2.5027,0.1287577,0.1085423,0.006030226891555
3,AMMY220,1048,11.9507,275.5,2.4401216031878,0.2363,2.4616,0.1542857,0.0820143,0.009525969852639
1,AMMY220,1048.5,10.853,390.25,2.59134291173445,0.2403,2.4554,0.1581367,0.0821633,0.008003842767014
3,AMMY220,1049,11.0794,508.25,2.70607738731008,0.2358,2.4766,0.144969,0.090831,0.007013443629174
2,AMMY220,1049.5,9.7344,471.5,2.67348169707335,0.2393,2.4958,0.1330435,0.1062565,0.007281639194105
3,AMMY220,1050,9.009,1735,3.23929947912689,0.2343,2.4676,0.1505589,0.0837411,0.003795948090006
3,AMMY220,1050.5,8.0526,806,2.90633504180509,0.2205,2.4743,0.1463976,0.0741024,0.005569323991926
2,AMMY220,1051,8.2496,697,2.84323277809801,0.1869,2.5055,0.1270186,0.0598814,0.005988990377257
4,AMMY220,1051.5,9.7939,545,2.73639650227664,0.1597,2.5544,0.096646,0.063054,0.006772854614786
4,AMMY220,1052,8.4949,271.5,2.43376983392487,0.1503,2.5555,0.0959627,0.0543373,0.009595886165829
3,AMMY220,1052.5,8.0745,331.5,2.52048353274079,0.1518,2.5388,0.1063354,0.0454646,0.008684168428648
2,AMMY220,1053,7.678,231.25,2.36408174141107,0.1721,2.4993,0.1308696,0.0412304,0.010397504898201
3,AMMY220,1053.5,10.9018,217.5,2.33745926129066,0.1973,2.4699,0.1491305,0.0481695,0.010721125348378
1,AMMY220,1054,12.9832,171.375,2.23394746779757,0.227,2.4348,0.1709317,0.0560683,0.012078034628862
1,AMMY220,1054.5,13.9364,118.688,2.07440681164852,0.2354,2.4327,0.1722361,0.0631639,0.014513314235734
1,AMMY220,1055,15.7113,122.312,2.08746906765054,0.2359,2.4486,0.1623602,0.0735398,0.014296689018598
3,AMMY220,1055.5,14.5583,96.25,1.98340073818054,0.222,2.4742,0.1464596,0.0755404,0.016116459280508
2,AMMY220,1056,14.5144,94.562,1.97571664902553,0.2003,2.486,0.1391304,0.0611696,0.016259668230968
1,AMMY220,1056.5,12.9194,100.188,2.00081570710133,0.178,2.4804,0.1426086,0.0353914,0.015796546519475
4,AMMY220,1057,12.689,91.125,1.95963754132603,0.1597,2.4769,0.1447825,0.0149175,0.016563466499998
2,AMMY220,1057.5,12.9033,108.125,2.03392612047287,0.1671,2.4557,0.1579504,0.0091496,0.015205718425394
1,AMMY220,1058,12.279,108.125,2.03392612047287,0.1681,2.4678,0.1504348,0.0176652,0.015205718425394
2,AMMY220,1058.5,12.5587,91.312,1.96052785520488,0.1741,2.4719,0.1478882,0.0262118,0.016546497450724
1,AMMY220,1059,11.9101,91.312,1.96052785520488,0.1721,2.4858,0.1392546,0.0328453,0.016546497450724
3,AMMY220,1059.5,13.0415,89.25,1.95060822478423,0.1899,2.4509,0.1609316,0.0289684,0.016736548175115
1,AMMY220,1060,13.5055,73.875,1.86849749388931,0.2037,2.4184,0.181118,0.022582,0.018395909204639
1,AMMY220,1060.5,13.7028,60.219,1.77973353931876,0.2166,2.4028,0.1908074,0.0257926,0.020375263536636
1,AMMY220,1061,12.3257,56.062,1.74866858706448,0.2092,2.4148,0.1833541,0.0258459,0.021117169740189
1,AMMY220,1061.5,10.9454,49.219,1.69213278574034,0.2102,2.4148,0.1833541,0.0268459,0.022537389555018
1,AMMY220,1062,9.5785,51.875,1.71495810972015,0.2107,2.4286,0.1747826,0.0359174,0.021952851997938
1,AMMY220,1062.5,8.4397,52,1.7160033436348,0.2206,2.4442,0.1650931,0.0555069,0.021926450482676
1,AMMY220,1063,9.6217,50.562,1.70382424430488,0.2216,2.4558,0.1578882,0.0637118,0.022236062301464
3,AMMY220,1063.5,10.3557,53.344,1.72708557814791,0.1983,2.4575,0.1568323,0.0414677,0.021648470355807
2,AMMY220,1064,11.9867,48.125,1.68237074251656,0.1573,2.4753,0.1457763,0.0115236,0.022792115291928
4,AMMY220,1064.5,12.2362,48.25,1.68349731767981,0.1226,2.5091,0.1247826,-0.0021826,0.022762572680299
4,AMMY220,1065,12.2354,43.969,1.64314658844389,0.1118,2.5448,0.1026087,0.0091913,0.023844966142449
4,AMMY220,1065.5,11.5206,42.156,1.62485939583965,0.1147,2.582,0.0795031,0.0351969,0.024352318007784
5,AMMY220,1066,11.2857,44.062,1.64406420614318,0.1103,2.6002,0.0681988,0.0421012,0.023819788515136
5,AMMY220,1066.5,10.3675,41.844,1.6216331934236,0.1044,2.6105,0.0618012,0.0425988,0.02444293808164
5,AMMY220,1067,10.1233,43.781,1.6412856770474,0.1103,2.5987,0.0691304,0.0411696,0.023896107636294
5,AMMY220,1067.5,11.5393,40.781,1.61045787100458,0.1147,2.5987,0.0691304,0.0455696,0.024759454314771
4,AMMY220,1068,13.1819,36.688,1.56452403738586,0.1232,2.5735,0.0847827,0.0384173,0.026104055590521
4,AMMY220,1068.5,14.8184,35.781,1.55365247397347,0.1321,2.5442,0.1029814,0.0291186,0.026432836360151
2,AMMY220,1069,12.493,34.062,1.53227014460906,0.1444,2.4956,0.1331677,0.0112323,0.027091617297432
2,AMMY220,1069.5,11.7193,35.781,1.55365247397347,0.1588,2.4899,0.136708,0.022092,0.026432836360151
2,AMMY220,1070,10.634,36,1.55630250076729,0.1637,2.4978,0.1318012,0.0318988,0.026352313834737
2,AMMY220,1070.5,10.517,38.219,1.58227931955407,0.1657,2.5058,0.1268323,0.0388677,0.025575865805347
2,AMMY220,1071,10.4516,33.938,1.53068624533119,0.1702,2.5038,0.1280746,0.0421254,0.027141064783965
2,AMMY220,1071.5,10.023,34.594,1.53900078108032,0.1736,2.4884,0.1376398,0.0359602,0.026882497481964
2,AMMY220,1072,9.3506,31.781,1.50216755831029,0.1736,2.51,0.1242236,0.0493764,0.028046987773631
2,AMMY220,1072.5,9.8013,31.031,1.49179577131359,0.1716,2.508,0.1254659,0.0461341,0.028383903306915
2,AMMY220,1073,10.3694,30.516,1.48452760622333,0.1716,2.4925,0.1350931,0.0365069,0.028622410182603
2,AMMY220,1073.5,11.7865,29.781,1.47393927659918,0.1721,2.4985,0.1313664,0.0407336,0.028973460296705
2,AMMY220,1074,10.3884,30.344,1.48207282969473,0.1682,2.5044,0.1277018,0.0404982,0.028703416277243
4,AMMY220,1074.5,8.6646,28.875,1.4605219929002,0.1627,2.5261,0.1142237,0.0484763,0.029424494316825
4,AMMY220,1075,9.1074,30.109,1.47869633167703,0.1578,2.5203,0.1178261,0.0399739,0.028815213284933
4,AMMY220,1075.5,9.5931,29.328,1.46728244761814,0.1543,2.5441,0.1030435,0.0512566,0.029196364741691
4,AMMY220,1076,12.5934,27.938,1.44619531301464,0.1435,2.5585,0.0940994,0.0494006,0.029913852495487
4,AMMY220,1076.5,12.678,29.984,1.47688956920768,0.141,2.5776,0.082236,0.058764,0.028875214543641
5,AMMY220,1077,14.0016,29.984,1.47688956920768,0.1316,2.6006,0.0679503,0.0636497,0.028875214543641
2,AMMY220,1077.5,14.0565,32.531,1.51229741366017,0.1296,2.6141,0.0595652,0.0700348,0.027721791800254
4,AMMY220,1078,15.0106,34.75,1.54095480892613,0.1212,2.62,0.0559007,0.0652993,0.026822089039291
6,AMMY220,1078.5,16.6474,34.406,1.53663418500382,0.1301,2.5926,0.0729192,0.0571808,0.02695584260313
4,AMMY220,1079,15.8413,36.094,1.55743501399815,0.1286,2.5672,0.0886957,0.0399043,0.026317976654041
5,AMMY220,1079.5,15.0768,33.719,1.52787468632869,0.1331,2.5906,0.0741615,0.0589385,0.027229060768753
5,AMMY220,1080,14.805,33.562,1.52584783305902,0.1237,2.5985,0.0692547,0.0544453,0.027292674002889
4,AMMY220,1080.5,14.3945,32.656,1.513962987372,0.1266,2.6258,0.0522982,0.0743018,0.027668684463686
5,AMMY220,1081,16.0344,30.906,1.49004280026422,0.1276,2.5945,0.0717391,0.0558609,0.028441245047532
4,AMMY220,1081.5,15.3279,30.422,1.48318776199876,0.1365,2.5846,0.0778882,0.0586118,0.028666595828411
4,AMMY220,1082,16.2437,29.281,1.46658590459489,0.1405,2.5689,0.0876397,0.0528603,0.029219787420742
4,AMMY220,1082.5,15.833,29.891,1.47554044455474,0.1425,2.5727,0.0852795,0.0572205,0.028920099449221
4,AMMY220,1083,16.7999,30.484,1.48407195295462,0.1425,2.5784,0.0817392,0.0607608,0.028637429157889
4,AMMY220,1083.5,18.9552,30.344,1.48207282969473,0.1405,2.5802,0.0806211,0.0598788,0.028703416277243
4,AMMY220,1084,17.9964,31.969,1.50472905162126,0.1316,2.5606,0.092795,0.038805,0.027964398256234
4,AMMY220,1084.5,19.2915,31.031,1.49179577131359,0.1222,2.5486,0.1002485,0.0219515,0.028383903306915
4,AMMY220,1085,18.0758,32.938,1.51769722521219,0.1202,2.5252,0.1147827,0.0054173,0.027549986585915
4,AMMY220,1085.5,18.2576,37.438,1.57331263995485,0.1242,2.5154,0.1208696,0.0033304,0.025841259919895
4,AMMY220,1086,15.7059,38.812,1.58896602270868,0.1252,2.523,0.1161491,0.0090509,0.025379729731276
4,AMMY220,1086.5,14.5404,39.719,1.59899830578636,0.1247,2.5307,0.1113665,0.0133335,0.025088277887365
4,AMMY220,1087,15.9749,36.625,1.56377763336217,0.1296,2.5464,0.1016149,0.0279851,0.026126497213658
4,AMMY220,1087.5,16.2478,33.625,1.52666229301046,0.1331,2.517,0.1198758,0.0132242,0.027267094157461
4,AMMY220,1088,16.7367,33.906,1.53027655768154,0.1306,2.5248,0.115031,0.015569,0.027153869438701
